province,year,emission_per_gdp,clean_ratio,green_rate
四川,2012,0.012685664636925444,0.56131841786223,0.387
四川,2013,0.010706983037311614,0.596450402152639,0.384
四川,2014,0.008679540573820676,0.625369472303582,0.375
四川,2015,0.007715753098786125,0.651828765662356,0.387
四川,2016,0.007724614249106657,0.6982785205490329,0.3989999999999999
四川,2017,0.005255888848702248,0.717252972550921,0.4
四川,2018,0.0039008355503053213,0.7054880274711339,0.405
四川,2019,0.002859530889869439,0.7216565682681431,0.418
天津,2005,0.027775755305571966,0.621555669848046,
天津,2006,0.026587814354170743,0.593991087673015,0.37
天津,2007,0.02445677668845251,0.59349860008421,
天津,2008,0.020883657277021885,0.592315327430128,
天津,2009,0.020990795289531763,0.573748179961745,0.303
天津,2010,0.01990281193147343,0.687167773640371,0.321
天津,2011,0.018722622961526127,0.6925285250991791,0.345
天津,2012,0.01743993917075549,0.686087146697512,0.349
天津,2013,0.015845985577093876,0.665495903329629,0.349
天津,2014,0.014708552385701382,0.6808819199298,0.349
天津,2015,0.014174878900300834,0.712939104289747,0.364
天津,2016,0.012966477964110662,0.736479616197639,0.372
天津,2017,0.011548663236237286,0.764308131565847,0.368
天津,2018,0.011508139016709258,0.773938679622901,0.38
天津,2019,0.01124099358038269,0.777969857155974,0.375
宁夏,2005,,0.425911730313835,
宁夏,2006,,0.484950915080127,
宁夏,2007,,0.571862255438716,
宁夏,2008,,0.500198365355701,
宁夏,2009,,0.49711866019368,
宁夏,2010,,0.5190177802969931,
宁夏,2011,,0.519144253376022,
宁夏,2012,,0.531045072512662,
宁夏,2013,,0.522195431383875,
宁夏,2014,,0.502909899449629,
宁夏,2015,,0.479161097301785,
宁夏,2016,,0.485804294901102,
宁夏,2017,,0.44147605375273,
宁夏,2018,,0.446733865821763,
宁夏,2019,,0.46004291676125,
安徽,2005,0.012345746209882207,0.6794768078284921,
安徽,2006,0.02406274778267781,0.346898184086285,0.326
安徽,2007,0.02646161199997945,0.349946563720559,0.361
安徽,2008,0.030264186697643886,0.3669096760617509,0.36
安徽,2009,0.02981856106429377,0.383640677493733,0.372
安徽,2010,0.026418581864770606,0.3728906169407889,0.375
安徽,2011,0.02312519376775875,0.395413871218404,0.395
安徽,2012,0.022389682029119222,0.440372496010106,0.3879999999999999
安徽,2013,0.021381077093664352,0.478886786828729,0.3989999999999999
安徽,2014,0.02029317295237458,0.4956299555907429,0.412
安徽,2015,0.01905738874791874,0.501452669419,0.412
安徽,2016,0.017763856909245656,0.521962282872984,0.417
安徽,2017,0.015894591161401444,0.5615274600635061,0.422
安徽,2018,0.011829669849127127,0.5998847992692959,0.425
安徽,2019,0.011105541224301777,0.612449780280386,0.427
山东,2005,0.028366797041066257,0.474471214356398,
山东,2006,0.037086345299243074,0.492067401707971,0.375
山东,2007,0.03442120865890964,0.507830075901199,0.386
山东,2008,0.030166212805450954,0.493181958899893,0.3979999999999999
山东,2009,0.028060543083822775,0.5036744880089861,0.412
山东,2010,0.025479848573714627,0.5037102120431429,0.415
山东,2011,0.023193251515199766,0.515136999236542,0.415
山东,2012,0.021138401164647,0.510942779309606,0.421
山东,2013,0.019335070525884877,0.5248332727370411,0.426
山东,2014,0.019515253351855232,0.512890843720506,0.428
山东,2015,0.017353775829792445,0.578953451804604,0.423
山东,2016,0.019019566198887877,0.636934237824951,0.423
山东,2017,0.014779185627281836,0.656424143034119,0.421
山东,2018,0.009699052258968499,0.69755145379135,0.418
山东,2019,0.01049850352699076,0.700040099525453,0.418
山西,2005,0.06223266458542993,0.247239901919186,
山西,2006,0.062311967782092685,0.266706844201425,0.319
山西,2007,0.06749508290260373,0.293096793711565,0.326
山西,2008,0.055553216867093747,0.305901762282155,0.352
山西,2009,0.05497747304112413,0.310961467529402,0.365
山西,2010,0.04530159154783211,0.3462650605706699,0.38
山西,2011,0.04116591379297287,0.3484226685798069,0.3829999999999999
山西,2012,0.0381926170355906,0.349943875478564,0.386
山西,2013,0.03719687133446937,0.3748260061109489,0.4
山西,2014,0.03920066152430448,0.380398618834433,0.401
山西,2015,0.04029254713853722,0.400346841053426,0.401
山西,2016,0.03883257537355664,0.398673187495329,0.405
山西,2017,0.03725325011017262,0.429154894059539,0.406
山西,2018,0.025026968393871488,0.4522035422323199,0.413
山西,2019,0.01928116596885012,0.467930604813607,0.423
广东,2005,0.013592744046320247,0.777737176642016,
广东,2006,0.011990944674290481,0.767668289094827,0.38
广东,2007,0.011124313656827325,0.762036645762298,0.385
广东,2008,0.010974376858140423,0.741138658334261,0.4029999999999999
广东,2009,0.010541119484655899,0.746376790881608,0.408
广东,2010,0.010252609982380225,0.745636163038039,0.413
广东,2011,0.009642151910999727,0.734080759886774,0.411
广东,2012,0.008748298262428436,0.7412221709851661,0.412
广东,2013,0.008134086793988261,0.771406653700082,0.415
广东,2014,0.00867502628530011,0.7607993255151431,0.414
广东,2015,0.007989023817741431,0.774607600799048,0.414
