province,year,emission_total,emission_per_gdp,per_capita_t,is_imputed_emission
新疆,2018,110.59230690237868,,4.3885836072372495,0
新疆,2019,20.7465330440524,,0.8107281377120906,0
江苏,2003,289.2190137628494,,,0
江苏,2004,325.1507942366051,,,0
江苏,2005,471.02003433413006,0.025674403236370526,6.20743324109291,0
江苏,2006,497.8604267832575,0.0231292968108514,6.502879137712349,0
江苏,2007,576.3188369736978,0.021851945376612312,7.4623700242612685,0
江苏,2008,595.6717512927887,0.018942868223406975,7.674204474269374,0
江苏,2009,644.4747175074336,0.01837439963698613,8.251916997534362,0
江苏,2010,715.6978899712235,0.016969638317571072,9.095156817527304,0
江苏,2011,806.543020819442,0.016231659018896186,10.052885713815803,0
江苏,2012,825.3843311860527,0.015100777395350993,10.164831664852866,0
江苏,2013,893.7752510832196,0.014771874997243537,10.910342420449457,0
江苏,2014,899.9131746579912,0.013588045815127237,10.867204137881792,0
江苏,2015,953.9125600229518,0.013271642273122485,11.472189537257387,0
江苏,2016,901.260353232759,0.011516055890182607,10.753613569177412,0
江苏,2017,953.6946657892746,0.011023727857802416,11.322505826775194,0
江苏,2018,735.0606350780519,0.007865287145736049,8.703062219725927,0
江苏,2019,811.6022479278,0.008129281337138874,9.583212279227773,0
江西,2003,66.62506229823151,,,0
江西,2004,85.42795526348957,,,0
江西,2005,70.0125357161851,0.0175390890616226,1.6240439739314565,0
江西,2006,77.41844406414972,0.016290388869655274,1.7842462333291016,0
江西,2007,134.20028454282237,0.022950812262552352,3.0723508366030763,0
江西,2008,162.66513510799754,0.023142990184244247,3.696934888818126,0
江西,2009,175.19751758338785,0.022655827955953427,3.953012580852614,0
江西,2010,195.0914416702576,0.02052859415264617,4.372286904308776,0
江西,2011,213.7966218871297,0.01824608034949133,4.7786459965831405,0
江西,2012,223.22976794040468,0.017234093627663878,4.988374702578875,0
江西,2013,245.28633088309363,0.016947388373367255,5.480034202035157,0
江西,2014,240.1355632592769,0.015142292715578733,5.360168822751716,0
江西,2015,252.0928653397363,0.014801913284505188,5.620799673126785,0
江西,2016,262.04638026909373,0.013967463716025292,5.82843372484639,0
江西,2017,255.11797029593367,0.012446236159156862,5.6554637618251755,0
江西,2018,230.5349703699576,0.010015900072119078,5.108242197428708,0
江西,2019,143.05641741438896,0.005786135633974639,3.1677683218420936,0
河北,2003,452.77786887494585,,,0
河北,2004,427.9376962790357,,,0
河北,2005,468.0129297900005,0.052667386485787004,6.831308273098825,0
河北,2006,528.6677829375353,0.051941696675954774,7.664073397180855,0
河北,2007,604.949098300977,0.04911257861117238,8.713079336035964,0
河北,2008,649.7648151435902,0.04511065240725297,9.296964016935044,0
河北,2009,667.3854004060743,0.04294546439940505,9.487992613108819,0
河北,2010,642.4082179147581,0.03519254402653421,8.929777841461748,0
河北,2011,792.1028054557211,0.03648276300131823,10.95274896924393,0
河北,2012,813.4734131791375,0.03470849514146841,11.201782059751276,0
河北,2013,827.4563256746011,0.033555820191110024,11.353681746358411,0
河北,2014,788.4344941892989,0.03074525891683853,10.766550514670202,0
