province,year,scenario_name,clean_ratio,green_rate,predicted_emission_per_gdp
吉林,2024,baseline,0.718799556995608,0.427,0.00856816549103906
吉林,2024,clean_plus5pp,0.7687995569956081,0.427,0.006445708338002556
吉林,2024,green_plus2pp,0.7387995569956081,0.447,0.006870053742101569
吉林,2025,baseline,0.718799556995608,0.427,0.00856816549103906
吉林,2025,clean_plus5pp,0.7687995569956081,0.427,0.006445708338002556
吉林,2025,green_plus2pp,0.7387995569956081,0.447,0.006870053742101569
吉林,2026,baseline,0.718799556995608,0.427,0.00856816549103906
吉林,2026,clean_plus5pp,0.7687995569956081,0.427,0.006445708338002556
吉林,2026,green_plus2pp,0.7387995569956081,0.447,0.006870053742101569
吉林,2027,baseline,0.718799556995608,0.427,0.00856816549103906
吉林,2027,clean_plus5pp,0.7687995569956081,0.427,0.006445708338002556
吉林,2027,green_plus2pp,0.7387995569956081,0.447,0.006870053742101569
吉林,2028,baseline,0.718799556995608,0.427,0.00856816549103906
吉林,2028,clean_plus5pp,0.7687995569956081,0.427,0.006445708338002556
吉林,2028,green_plus2pp,0.7387995569956081,0.447,0.006870053742101569
吉林,2029,baseline,0.718799556995608,0.427,0.00856816549103906
吉林,2029,clean_plus5pp,0.7687995569956081,0.427,0.006445708338002556
吉林,2029,green_plus2pp,0.7387995569956081,0.447,0.006870053742101569
吉林,2030,baseline,0.718799556995608,0.427,0.00856816549103906
吉林,2030,clean_plus5pp,0.7687995569956081,0.427,0.006445708338002556
吉林,2030,green_plus2pp,0.7387995569956081,0.447,0.006870053742101569
四川,2023,baseline,0.7951419041365511,0.435,0.004987846720572101
四川,2023,clean_plus5pp,0.8451419041365511,0.435,0.0028653895675356013
四川,2023,green_plus2pp,0.8151419041365511,0.455,0.003289734971634612
四川,2024,baseline,0.7951419041365511,0.435,0.004987846720572101
四川,2024,clean_plus5pp,0.8451419041365511,0.435,0.0028653895675356013
四川,2024,green_plus2pp,0.8151419041365511,0.455,0.003289734971634612
四川,2025,baseline,0.7951419041365511,0.435,0.004987846720572101
四川,2025,clean_plus5pp,0.8451419041365511,0.435,0.0028653895675356013
四川,2025,green_plus2pp,0.8151419041365511,0.455,0.003289734971634612
四川,2026,baseline,0.7951419041365511,0.435,0.004987846720572101
四川,2026,clean_plus5pp,0.8451419041365511,0.435,0.0028653895675356013
四川,2026,green_plus2pp,0.8151419041365511,0.455,0.003289734971634612
四川,2027,baseline,0.7951419041365511,0.435,0.004987846720572101
