province,year,energy_index,eco_index,efficiency_index
北京,2008,1.5901753144799895,0.21496973997598512,1.1907587569069216
北京,2009,1.7008960953162218,2.099115410987866,1.238733772402734
北京,2010,1.6336394797759866,,1.3269653875669989
北京,2011,1.8776792854782773,1.6904346289833205,1.4085745823733362
北京,2012,1.9483502184324653,1.8459072385393922,1.3804838515948008
北京,2013,2.006392444534335,2.0206075797438463,1.4101613496050147
北京,2014,2.044758137162463,2.4655172201944224,1.304717121841937
北京,2015,2.0668387563961668,2.300243771140908,1.282187067811237
北京,2016,2.174835122096782,2.562175059564933,1.0779715498604059
北京,2017,2.0960308694869747,2.75736642798948,0.9132165417654449
北京,2018,2.272959931789026,2.496095531792345,1.0627254964887844
北京,2019,2.3154978029815725,2.6595698621324724,1.06558058072669
吉林,2005,-0.07783539358515842,,-0.582902654844814
吉林,2006,-0.23523731561361394,-0.6649979458223166,-0.5907328892928264
吉林,2007,-0.12914966042367135,-1.0843879686105322,-0.9311218365412729
吉林,2008,-0.32791238986586235,-1.1206953268890227,-1.0587368473959824
吉林,2009,-0.39919796615660996,-0.910682788568112,-0.6789661688080637
吉林,2010,-0.571221746300132,-0.8101331263558759,-0.7696034123306519
吉林,2011,-0.7896884702090142,-1.0500310664674506,-0.9837549577054072
吉林,2012,-0.7213472934771944,-1.3233639834084743,-0.7916952464985298
吉林,2013,-0.6543872634411538,-1.9768141694973762,-0.527549301630492
吉林,2014,-0.6040855921646745,-0.9248238704368668,-0.6041268450844063
吉林,2015,-0.5664140595741063,-0.8274944197425405,-0.5469354328215487
吉林,2016,-0.5221889291263353,-1.5009191177333059,-0.5656580318909132
吉林,2017,-0.19120748671975357,-1.8166735882174543,-0.5594897102603835
吉林,2018,-0.021806510908225392,-1.02014339125426,-0.13885860786362716
吉林,2019,-0.19004733406964675,-0.7697541888667606,0.20242016750310626
四川,2005,0.17425050102521525,,0.9447497619822381
四川,2006,0.2212192962541783,-0.2513020886668236,0.9249938788639996
四川,2007,0.17280164942740034,-0.3410305430573719,0.7432128939055973
四川,2008,-0.2773658515749664,-0.23025194897901793,0.8751657233974305
四川,2009,-0.18519332969867203,-0.18348322357472,0.7980800181523787
四川,2010,-0.28927469618549845,0.02945938641294141,0.8437705261587258
四川,2011,0.3483091461272578,-0.08846415578297,0.5627158672127139
四川,2012,0.03540377685850208,-0.08657521386784198,0.5036244942704027
四川,2013,0.06639876699959311,-0.19452421760638486,0.6525662546761641
四川,2014,0.21789345049389675,-0.49147200170955874,0.7539897287588789
四川,2015,0.29218155846771227,-0.1663465094744938,0.7952718674483533
四川,2016,0.5813578134678744,-0.015160799169026658,0.550153242274165
四川,2017,0.5260402878309621,-0.2919935828151416,0.6208482885793096
四川,2018,0.2876112228614856,-0.07596812488063359,0.8334363693252294
四川,2019,0.3556723421382165,0.1889815673265724,0.9652654824807745
天津,2005,0.8345123255856898,,-0.30139426814306847
天津,2006,0.5842371795695485,0.5107692271459257,-0.14396031400129056
天津,2007,0.48510561986778855,,0.0074380165431048905
天津,2008,0.5053411492129336,,0.1225825228465286
天津,2009,0.4309063139626445,-1.4156824864801867,0.12800323305778
天津,2010,0.9965336778040884,-1.252023922549991,-0.034024652283549915
