province,year,clean_ratio,green_rate,emission_per_gdp,Δenergy,Δgreen,Δemission
山东,2014,0.512890843720506,0.428,0.019515253351855232,-0.011942429016535083,0.0020000000000000018,0.00018018282597035556
山东,2015,0.578953451804604,0.423,0.017353775829792445,0.06606260808409803,-0.0050000000000000044,-0.0021614775220627873
山东,2016,0.636934237824951,0.423,0.019019566198887877,0.05798078602034695,0.0,0.0016657903690954316
山东,2017,0.656424143034119,0.421,0.014779185627281836,0.019489905209168046,-0.0020000000000000018,-0.0042403805716060405
山东,2018,0.69755145379135,0.418,0.009699052258968499,0.04112731075723097,-0.0030000000000000027,-0.005080133368313337
山东,2019,0.700040099525453,0.418,0.01049850352699076,0.002488645734103012,0.0,0.0007994512680222603
山东,2020,0.697645687032457,0.416,0.009553971877342797,-0.00239441249299599,-0.0020000000000000018,-0.0009445316496479624
山东,2021,0.726297143059889,0.43,0.007989996701005836,0.02865145602743202,0.014000000000000012,-0.001563975176336961
山东,2022,0.75069597211674,0.4379999999999999,0.007274410909092568,0.02439882905685098,0.007999999999999896,-0.000715585791913268
山西,2005,0.247239901919186,,0.06223266458542993,,,
山西,2006,0.266706844201425,0.319,0.062311967782092685,0.019466942282238997,,7.930319666275831e-05
山西,2007,0.293096793711565,0.326,0.06749508290260373,0.02638994951014001,0.007000000000000006,0.005183115120511041
山西,2008,0.305901762282155,0.352,0.055553216867093747,0.012804968570589992,0.025999999999999968,-0.01194186603550998
山西,2009,0.310961467529402,0.365,0.05497747304112413,0.005059705247247026,0.013000000000000012,-0.0005757438259696157
山西,2010,0.3462650605706699,0.38,0.04530159154783211,0.0353035930412679,0.015000000000000013,-0.009675881493292023
山西,2011,0.3484226685798069,0.3829999999999999,0.04116591379297287,0.002157608009137002,0.0029999999999998916,-0.004135677754859235
山西,2012,0.349943875478564,0.386,0.0381926170355906,0.001521206898757066,0.0030000000000001137,-0.0029732967573822752
山西,2013,0.3748260061109489,0.4,0.03719687133446937,0.024882130632384925,0.014000000000000012,-0.0009957457011212298
山西,2014,0.380398618834433,0.401,0.03920066152430448,0.005572612723484083,0.0010000000000000009,0.0020037901898351113
山西,2015,0.400346841053426,0.401,0.04029254713853722,0.019948222218993006,0.0,0.0010918856142327418
山西,2016,0.398673187495329,0.405,0.03883257537355664,-0.0016736535580970102,0.0040000000000000036,-0.0014599717649805832
山西,2017,0.429154894059539,0.406,0.03725325011017262,0.03048170656421001,0.0010000000000000009,-0.0015793252633840155
山西,2018,0.4522035422323199,0.413,0.025026968393871488,0.023048648172780906,0.006999999999999951,-0.012226281716301135
山西,2019,0.467930604813607,0.423,0.01928116596885012,0.015727062581287088,0.010000000000000009,-0.0057458024250213666
山西,2020,0.471787995393753,0.439,0.018925488371767787,0.003857390580146003,0.016000000000000014,-0.00035567759708233365
山西,2021,0.475306303990052,0.437,0.01723940079318714,0.0035183085962990357,-0.0020000000000000018,-0.001686087578580648
山西,2022,0.541284334141635,0.44,0.010600270543268436,0.06597803015158299,0.0030000000000000027,-0.006639130249918704
广东,2005,0.777737176642016,,0.013592744046320247,,,
广东,2006,0.767668289094827,0.38,0.011990944674290481,-0.010068887547189043,,-0.0016017993720297656
广东,2007,0.762036645762298,0.385,0.011124313656827325,-0.005631643332528968,0.0050000000000000044,-0.0008666310174631556
广东,2008,0.741138658334261,0.4029999999999999,0.010974376858140423,-0.020897987428037057,0.017999999999999905,-0.0001499367986869029
